model,fold,n_test,RMSE,RMSE_naive,MAE,sMAPE,MASE,DirAcc,DM_vs_naive
RandomWalk,0,129,0.02212346797006382,0.02212346797006382,0.017756666215676876,198.4496124031008,0.7183723124675152,0.007751937984496124,0.0
RandomWalk,1,129,0.02294534163713609,0.02294534163713609,0.017493947616997945,195.3488372093023,0.7000477663031102,0.023255813953488372,0.0
RandomWalk,2,129,0.023987532090941417,0.023987532090941417,0.01935378430647929,198.4496124031008,0.7785226343938286,0.007751937984496124,0.0
RandomWalk,3,129,0.022416767550575905,0.022416767550575905,0.01687420876143702,200.0,0.6671350794565735,0.0,0.0
RandomWalk,4,85,0.024791126038239686,0.024791126038239686,0.019208237419440506,200.0,0.7576979717999134,0.0,0.0
ARIMA,0,129,0.022114941762603306,0.02212346797006382,0.017773213338974934,190.12344413433806,0.7190417509242576,0.4806201550387597,-0.21082264560082062
ARIMA,1,129,0.022915051613038022,0.02294534163713609,0.01748915827329402,184.68575064314157,0.6998561131991113,0.49612403100775193,-0.8147660840076881
ARIMA,2,129,0.0239100218773472,0.023987532090941417,0.01923381148370112,186.37761272806904,0.7736966243192173,0.5736434108527132,-1.1946343227082035
ARIMA,3,129,0.0224797061746945,0.022416767550575905,0.01694251127428815,179.36007283333154,0.6698354728784066,0.4728682170542636,0.7051858057138641
ARIMA,4,85,0.024848814035605103,0.024791126038239686,0.01924526101141087,184.84056217845637,0.7591584233724402,0.4823529411764706,0.5060172398050699
LSTM_a_market,0,129,0.022298749483609194,0.022123466946488445,0.01782587729394436,171.65316772460938,0.721172349464296,0.4806201550387597,0.8276767134666443
LSTM_a_market,1,129,0.023367262440793728,0.022945341584207003,0.017824899405241013,163.48361206054688,0.7132913214563488,0.4806201550387597,1.4290452003479004
LSTM_a_market,2,129,0.02414454105281646,0.02398753225796858,0.01952182501554489,183.6072998046875,0.7852822165734937,0.4806201550387597,1.0234216451644897
LSTM_a_market,3,129,0.0222961546393737,0.022416767195260295,0.016734227538108826,168.58905029296875,0.6616008119914879,0.5116279069767442,-0.8020597100257874
LSTM_a_market,4,85,0.025681774996046892,0.02479112556620676,0.01995094120502472,164.44517517089844,0.7869950457425607,0.4235294117647059,2.2750062942504883
LSTM_b_market_climaRaw,0,129,0.022292896298624486,0.022123466946488445,0.017965076491236687,164.47715759277344,0.7268038597961299,0.4728682170542636,0.36680105328559875
LSTM_b_market_climaRaw,1,129,0.023015812119058673,0.022945341584207003,0.017585301771759987,168.16746520996094,0.7037034461635858,0.5348837209302325,0.31258782744407654
LSTM_b_market_climaRaw,2,129,0.02423073002206849,0.02398753225796858,0.019617952406406403,174.53207397460938,0.7891490236219662,0.4418604651162791,0.9308612942695618
LSTM_b_market_climaRaw,3,129,0.022768920439012335,0.022416767195260295,0.017585506662726402,160.71905517578125,0.6952567999237543,0.4728682170542636,0.8471340537071228
LSTM_b_market_climaRaw,4,85,0.024937806637048126,0.02479112556620676,0.01904832385480404,152.02944946289062,0.7513899394207574,0.5882352941176471,0.22921128571033478
LSTM_c_market_climaLag,0,129,0.02241976997665656,0.022123466946488445,0.017866769805550575,167.13670349121094,0.7228267167744855,0.49612403100775193,0.866497814655304
LSTM_c_market_climaLag,1,129,0.022973758938369167,0.022945341584207003,0.01776096038520336,176.13247680664062,0.7107327012331193,0.46511627906976744,0.17976517975330353
LSTM_c_market_climaLag,2,129,0.02427160423469003,0.02398753225796858,0.019410381093621254,174.22225952148438,0.7807992888778428,0.4883720930232558,1.1923952102661133
LSTM_c_market_climaLag,3,129,0.022278802667662533,0.022416767195260295,0.016781017184257507,163.46449279785156,0.6634506773536186,0.5116279069767442,-0.632092297077179
LSTM_c_market_climaLag,4,85,0.025374196312889535,0.02479112556620676,0.01960819400846958,162.73507690429688,0.7734748642704651,0.5058823529411764,1.3715485334396362
LSTM_d_market_climaWprod,0,129,0.02259683443485745,0.022123466946488445,0.017969615757465363,162.98992919921875,0.7269875025553051,0.5038759689922481,0.7217769622802734
LSTM_d_market_climaWprod,1,129,0.023093828161479014,0.022945341584207003,0.01779053546488285,178.2193145751953,0.7119161944572413,0.3953488372093023,0.6219502687454224
LSTM_d_market_climaWprod,2,129,0.024444983689765786,0.02398753225796858,0.01979687064886093,176.50091552734375,0.7963461639461032,0.4186046511627907,1.741491675376892
LSTM_d_market_climaWprod,3,129,0.022471505767897228,0.022416767195260295,0.017123248428106308,165.9732208251953,0.676981058024229,0.4883720930232558,0.19792653620243073
LSTM_d_market_climaWprod,4,85,0.02508043322569122,0.02479112556620676,0.019336611032485962,173.25851440429688,0.7627618630936935,0.49411764705882355,0.7172931432723999
