date,preco_cafe,cambio_brl
2018-12-31,101.8499984741211,3.8742001056671143
2019-01-02,99.5,3.8798999786376953
2019-01-03,102.1500015258789,3.78629994392395
2019-01-04,101.5999984741211,3.7551000118255615
2019-01-07,102.75,3.6612000465393066
2019-01-08,105.05000305175781,3.734100103378296
2019-01-09,105.30000305175781,3.712399959564209
2019-01-10,104.25,3.680000066757202
2019-01-11,103.8499984741211,3.707900047302246
2019-01-14,102.75,3.659600019454956
2019-01-15,101.30000305175781,3.697499990463257
2019-01-16,102.4000015258789,3.716399908065796
2019-01-17,102.4000015258789,3.734299898147583
2019-01-18,104.94999694824219,3.7488999366760254
2019-01-22,103.3499984741211,3.7513999938964844
2019-01-23,103.4000015258789,3.812000036239624
2019-01-24,105.30000305175781,3.7623000144958496
2019-01-25,106.80000305175781,3.7697999477386475
2019-01-28,102.6500015258789,3.7695999145507812
2019-01-29,102.5999984741211,3.7595999240875244
2019-01-30,102.0999984741211,3.7184998989105225
2019-01-31,105.9000015258789,3.6814000606536865
2019-02-01,103.69999694824219,3.6428000926971436
2019-02-04,105.5999984741211,3.6572999954223633
2019-02-05,104.8499984741211,3.6670000553131104
2019-02-06,105.5,3.668299913406372
2019-02-07,104.30000305175781,3.694700002670288
2019-02-08,102.5999984741211,3.714900016784668
2019-02-11,100.19999694824219,3.728600025177002
2019-02-12,100.44999694824219,3.755199909210205
2019-02-13,98.9000015258789,3.7079999446868896
2019-02-14,97.8499984741211,3.753200054168701
2019-02-15,97.94999694824219,3.7219998836517334
2019-02-19,97.19999694824219,3.7316999435424805
2019-02-20,97.55000305175781,3.7219998836517334
2019-02-21,96.0999984741211,3.7239999771118164
2019-02-22,96.44999694824219,3.7664999961853027
2019-02-25,96.4000015258789,3.746299982070923
2019-02-26,93.55000305175781,3.7504000663757324
2019-02-27,95.69999694824219,3.7471001148223877
2019-02-28,95.19999694824219,3.727299928665161
2019-03-01,96.94999694824219,3.747499942779541
2019-03-04,94.0999984741211,3.721400022506714
2019-03-05,96.44999694824219,3.7741000652313232
2019-03-06,95.5,3.774399995803833
2019-03-07,93.6500015258789,3.8368000984191895
2019-03-08,95.30000305175781,3.86929988861084
2019-03-11,94.0,3.8134000301361084
2019-03-12,92.80000305175781,3.8373000621795654
2019-03-13,94.44999694824219,3.8115999698638916
2019-03-14,93.94999694824219,3.8132998943328857
2019-03-15,94.5999984741211,3.8405001163482666
2019-03-18,93.6500015258789,3.812999963760376
2019-03-19,93.44999694824219,3.7899999618530273
2019-03-20,94.75,3.7876999378204346
2019-03-21,94.80000305175781,3.774199962615967
2019-03-22,93.9000015258789,3.7909998893737793
2019-03-25,94.25,3.9059998989105225
2019-03-26,95.3499984741211,3.853600025177002
2019-03-27,93.8499984741211,3.875
2019-03-28,94.0,3.9881999492645264
2019-03-29,94.5,3.897700071334839
2019-04-01,92.0999984741211,3.922499895095825
2019-04-02,91.6500015258789,3.8485000133514404
2019-04-03,95.3499984741211,3.852299928665161
2019-04-04,95.30000305175781,3.868299961090088
2019-04-05,93.19999694824219,3.8559000492095947
2019-04-08,92.94999694824219,3.874000072479248
2019-04-09,93.6500015258789,3.8482000827789307
2019-04-10,94.25,3.8480000495910645
2019-04-11,90.25,3.8239998817443848
2019-04-12,90.4000015258789,3.855799913406372
