date,preco_cafe,cotacao_dolar,index,chuva,temp,temp_max,temp_min,umidade
2012-01-03,227.1999969482422,1.8701000213623047,2,0.4,21.4625,28.2,17.5,79.66666666666667
2012-01-04,226.6999969482422,1.8344999551773071,3,0.0,22.1875,29.3,15.9,67.41666666666667
2012-01-05,219.5500030517578,1.8184000253677368,4,0.0,22.341666666666665,29.5,15.5,66.70833333333333
2012-01-06,221.75,1.843000054359436,5,25.8,20.600000000000005,28.3,17.5,81.45833333333333
2012-01-09,221.85000610351562,1.847599983215332,8,21.2,18.066666666666663,22.5,16.1,90.45833333333331
2012-01-10,225.9499969482422,1.840999960899353,9,22.2,18.050000000000004,20.3,16.5,91.83333333333331
2012-01-11,234.89999389648438,1.7990000247955322,10,18.6,18.520833333333336,21.4,16.3,88.20833333333333
2012-01-12,233.89999389648438,1.8035000562667847,11,0.0,19.85416666666666,25.3,15.8,83.20833333333333
2012-01-13,225.25,1.780900001525879,12,0.4,21.6125,26.8,18.0,77.0
2012-01-17,225.14999389648438,1.7792999744415283,16,27.6,20.633333333333333,26.8,17.9,88.04166666666667
2012-01-18,224.85000610351562,1.7795000076293945,17,46.6,19.9375,28.1,16.9,84.125
2012-01-19,226.64999389648438,1.7683000564575195,18,25.0,19.2875,27.2,16.2,88.375
2012-01-20,225.39999389648438,1.7554999589920044,19,1.0,20.27916666666667,25.7,16.7,83.75
2012-01-23,219.4499969482422,1.76010000705719,22,0.0,22.85833333333333,29.1,17.8,70.33333333333333
2012-01-24,220.4499969482422,1.7519999742507935,23,0.0,22.4,28.8,18.9,69.41666666666667
2012-01-25,217.1999969482422,1.7583999633789062,24,0.0,22.766666666666666,29.0,17.5,68.41666666666667
2012-01-26,219.6999969482422,1.7599999904632568,25,0.0,22.75,29.6,18.1,74.41666666666667
2012-01-27,217.35000610351562,1.8524999618530273,26,2.2,20.716666666666665,26.9,16.6,85.04166666666667
2012-01-30,216.60000610351562,1.7380000352859497,29,0.0,20.175,27.4,15.2,78.125
2012-01-31,215.0500030517578,1.7462999820709229,30,5.0,21.1125,27.3,16.3,78.33333333333333
2012-02-01,214.10000610351562,1.7447999715805054,31,5.6,20.929166666666667,27.5,17.7,80.25
2012-02-02,215.60000610351562,1.7316999435424805,32,0.2,21.53333333333333,28.1,15.9,75.29166666666667
2012-02-03,215.9499969482422,1.7180999517440796,33,0.0,22.675,29.2,16.8,62.75
2012-02-06,218.8000030517578,1.7152999639511108,36,0.0,23.466666666666672,29.6,17.0,58.91666666666666
2012-02-07,220.9499969482422,1.7237000465393066,37,0.0,24.13333333333334,31.4,16.4,56.583333333333336
