datetime,chuva,temp,temp_max,temp_min,umidade
2019-01-01,39.4,22.75,29.4,18.8,77.79166666666667
2019-01-02,0.0,23.3125,30.1,18.6,76.16666666666667
2019-01-03,1.0,23.079166666666666,30.3,19.8,79.20833333333333
2019-01-04,11.4,20.804166666666667,25.4,19.5,90.91666666666667
2019-01-05,4.8,20.45,23.6,19.0,90.75
2019-01-06,0.0,22.84583333333333,29.0,18.0,75.79166666666667
2019-01-07,0.0,20.6375,23.5,18.5,82.875
2019-01-08,0.0,,,,
2019-01-09,0.0,,,,
2019-01-10,0.0,,,,
2019-01-11,0.0,,,,
2019-01-12,0.0,,,,
2019-01-13,0.0,,,,
2019-01-14,0.0,,,,
2019-01-15,0.0,,,,
2019-01-16,0.0,,,,
2019-01-17,0.0,,,,
2019-01-18,0.0,,,,
2019-01-19,0.0,,,,
2019-01-20,0.0,,,,
2019-01-21,0.0,,,,
2019-01-22,0.0,,,,
2019-01-23,0.0,,,,
2019-01-24,0.0,,,,
2019-01-25,0.0,,,,
2019-01-26,0.0,,,,
2019-01-27,0.0,,,,
2019-01-28,0.0,,,,
2019-01-29,0.0,,,,
2019-01-30,0.0,,,,
2019-01-31,0.0,,,,
2019-02-01,0.0,,,,
2019-02-02,0.0,,,,
2019-02-03,0.0,,,,
2019-02-04,0.0,,,,
2019-02-05,0.0,,,,
2019-02-06,0.0,,,,
2019-02-07,0.0,,,,
2019-02-08,0.0,,,,
2019-02-09,0.0,,,,
2019-02-10,0.0,,,,
2019-02-11,0.0,,,,
2019-02-12,0.4,24.463636363636365,28.4,20.6,74.45454545454545
2019-02-13,18.8,21.058333333333334,25.7,19.0,88.70833333333333
2019-02-14,0.8,19.820833333333333,24.0,16.6,81.125
2019-02-15,2.4000000000000004,21.045833333333334,27.3,17.2,78.29166666666667
2019-02-16,72.0,20.2,22.2,18.8,93.58333333333333
2019-02-17,0.8,20.604166666666668,23.7,18.5,89.16666666666667
2019-02-18,3.4,21.245833333333334,26.5,19.3,89.625
2019-02-19,4.2,22.041666666666668,28.0,19.0,83.66666666666667
2019-02-20,0.6000000000000001,22.316666666666666,29.7,17.0,76.58333333333333
2019-02-21,1.6,20.629166666666666,25.0,17.6,85.91666666666667
2019-02-22,1.6,23.245833333333334,31.3,18.2,74.79166666666667
2019-02-23,1.8,23.691666666666666,31.6,17.5,72.33333333333333
2019-02-24,1.6,24.7625,32.2,18.1,66.20833333333333
2019-02-25,1.4000000000000001,23.058333333333334,30.9,19.2,76.95833333333333
2019-02-26,1.4000000000000001,20.370833333333334,29.3,17.4,88.125
2019-02-27,1.6,21.708333333333332,29.2,18.1,82.54166666666667
2019-02-28,2.2,21.099999999999998,26.5,18.7,86.04166666666667
2019-03-01,4.2,21.25,26.4,18.7,84.29166666666667
2019-03-02,2.6,20.408333333333335,24.5,18.3,89.125
2019-03-03,2.0,20.266666666666666,24.5,18.1,89.95833333333333
2019-03-04,2.4000000000000004,19.933333333333334,25.9,17.4,87.16666666666667
2019-03-05,3.0,20.05,25.6,17.6,89.79166666666667
2019-03-06,3.4000000000000004,21.891666666666666,29.4,16.6,79.95833333333333
2019-03-07,4.4,23.129166666666666,30.6,17.9,75.70833333333333
2019-03-08,4.6000000000000005,23.833333333333332,31.7,18.1,71.45833333333333
2019-03-09,4.800000000000001,25.400000000000002,32.5,19.0,66.66666666666667
2019-03-10,4.0,24.241666666666664,31.8,19.2,67.41666666666667
2019-03-11,3.4000000000000004,20.804166666666667,27.7,17.9,84.25
2019-03-12,3.2,20.358333333333334,29.4,17.2,86.625
2019-03-13,5.6000000000000005,20.720833333333335,27.5,16.7,84.75
2019-03-14,6.6000000000000005,21.508333333333336,29.1,19.1,85.5
2019-03-15,7.4,20.895833333333332,28.4,17.2,86.875
2019-03-16,7.2,23.0125,29.2,18.9,78.95833333333333
2019-03-17,11.0,23.304166666666664,29.0,19.0,79.625
2019-03-18,4.800000000000001,22.28333333333333,28.8,18.5,84.79166666666667
2019-03-19,0.2,22.8625,30.4,19.3,83.91666666666667
2019-03-20,0.0,23.0,29.9,18.7,79.45833333333333
2019-03-21,3.2,20.683333333333334,24.5,18.0,88.875
2019-03-22,3.4000000000000004,19.01666666666667,23.5,17.0,85.41666666666667
2019-03-23,2.4000000000000004,19.945833333333333,25.8,15.4,76.125
2019-03-24,2.6,21.325,29.2,15.6,73.91666666666667
2019-03-25,2.2,22.3875,29.0,17.0,68.625
2019-03-26,1.8,22.837500000000002,29.3,17.0,65.45833333333333
2019-03-27,0.0,22.4875,29.1,15.7,58.708333333333336
2019-03-28,0.2,22.09166666666667,27.9,16.5,66.33333333333333
2019-03-29,1.4000000000000001,20.9875,27.8,15.4,72.41666666666667
2019-03-30,0.6000000000000001,20.454166666666666,27.1,14.2,68.20833333333333
2019-03-31,0.2,20.95,27.9,15.5,69.54166666666667
2019-04-01,0.0,21.204166666666666,28.3,15.5,69.95833333333333
2019-04-02,0.4,21.870833333333334,28.9,16.6,72.79166666666667
2019-04-03,0.2,22.608333333333334,29.8,16.3,67.875
2019-04-04,0.0,22.425,30.6,16.0,69.5
2019-04-05,0.0,23.370833333333334,29.9,19.4,74.29166666666667
2019-04-06,0.0,22.433333333333334,28.9,19.8,84.79166666666667
2019-04-07,9.0,22.608333333333334,27.6,19.2,83.25
2019-04-08,2.0,20.833333333333332,23.9,19.3,85.16666666666667
2019-04-09,10.2,20.745833333333334,27.4,18.5,87.875
2019-04-10,7.0,20.583333333333332,28.0,15.2,79.125
2019-04-11,0.0,21.349999999999998,27.5,16.4,72.375
2019-04-12,0.0,21.958333333333332,28.8,16.1,72.95833333333333
2019-04-13,0.0,22.75,28.4,18.9,74.91666666666667
2019-04-14,9.0,19.908333333333335,21.1,18.7,94.58333333333333
2019-04-15,6.0,21.087500000000002,26.3,18.3,87.83333333333333
2019-04-16,0.0,21.333333333333332,25.4,19.3,86.04166666666667
2019-04-17,0.2,22.104166666666668,27.8,18.1,78.95833333333333
2019-04-18,0.0,21.462500000000002,27.9,16.6,67.41666666666667
2019-04-19,0.0,19.408333333333335,26.7,11.7,67.0
2019-04-20,0.0,19.633333333333333,27.0,12.4,63.041666666666664
2019-04-21,0.0,20.554166666666667,28.5,13.5,66.04166666666667
2019-04-22,0.0,21.287499999999998,28.9,14.0,68.29166666666667
2019-04-23,0.0,21.929166666666664,29.1,16.4,71.20833333333333
2019-04-24,0.0,22.25,28.2,18.2,74.0
2019-04-25,0.0,22.229166666666668,28.1,17.4,72.79166666666667
2019-04-26,0.0,21.941666666666666,28.5,16.9,72.83333333333333
2019-04-27,0.0,21.941666666666666,28.2,16.7,71.16666666666667
2019-04-28,0.0,22.15416666666667,28.9,16.7,70.375
2019-04-29,0.0,21.095833333333335,26.8,17.4,75.16666666666667
2019-04-30,0.0,19.783333333333335,27.1,13.2,70.0
2019-05-01,0.0,19.929166666666667,27.4,14.0,70.75
2019-05-02,0.0,20.608333333333334,26.6,16.8,74.375
2019-05-03,0.0,20.8125,27.5,16.2,79.5
2019-05-04,0.0,21.558333333333334,28.8,17.7,80.54166666666667
2019-05-05,0.0,21.8625,27.4,18.2,74.375
2019-05-06,0.0,21.53333333333333,27.7,16.1,69.66666666666667
2019-05-07,0.0,21.175,27.9,15.7,74.66666666666667
2019-05-08,0.0,20.245833333333334,26.8,15.7,78.83333333333333
2019-05-09,0.0,18.666666666666668,23.6,14.2,78.91666666666667
2019-05-10,0.0,18.75,21.9,15.5,85.33333333333333
2019-05-11,0.0,19.558333333333334,26.5,15.6,84.33333333333333
2019-05-12,0.0,21.366666666666664,28.4,15.9,78.20833333333333
2019-05-13,0.0,21.8125,28.3,17.8,77.70833333333333
2019-05-14,0.0,21.879166666666666,28.5,17.2,75.875
2019-05-15,0.0,21.025,27.0,16.6,78.0
