datetime,chuva,temp,temp_max,temp_min,umidade
2020-01-01,9.2,22.545833333333334,29.5,18.8,79.41666666666667
2020-01-02,9.4,20.595833333333335,25.7,18.6,87.54166666666667
2020-01-03,8.6,21.383333333333336,27.8,18.3,82.83333333333333
2020-01-04,4.0,21.245833333333334,28.2,17.3,84.16666666666667
2020-01-05,25.8,21.804166666666664,29.0,17.4,82.0
2020-01-06,2.4000000000000004,21.4875,27.3,18.1,84.16666666666667
2020-01-07,2.2,22.804166666666664,30.8,17.1,79.33333333333333
2020-01-08,0.6000000000000001,22.979166666666668,29.3,20.4,84.5
2020-01-09,4.4,22.47083333333333,29.9,18.9,84.91666666666667
2020-01-10,1.2,23.920833333333334,30.8,20.1,79.16666666666667
2020-01-11,0.4,23.1125,29.7,20.0,82.95833333333333
2020-01-12,21.8,22.212500000000002,29.3,19.2,87.125
2020-01-13,12.6,21.520833333333332,28.0,19.2,89.33333333333333
2020-01-14,0.0,22.59166666666667,29.7,18.1,80.5
2020-01-15,0.2,23.34583333333333,30.4,18.7,76.58333333333333
2020-01-16,0.0,24.691666666666666,31.8,18.6,71.33333333333333
2020-01-17,1.2,22.083333333333332,25.3,19.8,87.54166666666667
2020-01-18,0.0,21.2375,25.2,17.8,79.75
2020-01-19,0.0,21.791666666666668,26.8,18.2,80.75
2020-01-20,8.2,21.508333333333336,26.7,18.8,84.66666666666667
2020-01-21,1.6,19.991666666666667,26.8,14.8,81.20833333333333
2020-01-22,0.0,21.84583333333333,27.6,16.2,72.66666666666667
2020-01-23,7.199999999999999,20.408333333333335,23.2,18.0,86.04166666666667
2020-01-24,23.8,19.879166666666666,25.7,17.0,89.45833333333333
2020-01-25,0.2,21.462500000000002,28.4,17.6,78.79166666666667
2020-01-26,0.0,22.53333333333333,29.1,16.2,63.25
2020-01-27,0.0,23.316666666666666,29.8,17.3,63.291666666666664
2020-01-28,0.0,23.849999999999998,30.4,18.5,69.83333333333333
2020-01-29,1.2,22.900000000000002,28.6,19.0,78.29166666666667
2020-01-30,6.2,22.020833333333332,28.2,19.6,86.20833333333333
2020-01-31,0.0,23.008333333333336,30.3,18.4,78.45833333333333
2020-02-01,0.0,23.170833333333334,29.3,18.7,77.20833333333333
2020-02-02,4.4,23.383333333333336,30.2,18.7,76.29166666666667
2020-02-03,21.2,23.6375,31.6,17.7,75.58333333333333
2020-02-04,1.6,22.208333333333332,28.6,19.1,84.25
2020-02-05,32.6,21.287499999999998,26.4,19.3,86.83333333333333
2020-02-06,14.399999999999999,20.316666666666666,23.6,17.7,91.04166666666667
2020-02-07,13.0,19.4875,26.0,16.5,85.91666666666667
2020-02-08,5.4,20.708333333333332,27.5,17.3,82.58333333333333
2020-02-09,1.6,21.0625,25.8,18.4,82.04166666666667
2020-02-10,12.8,21.279166666666665,25.7,19.7,86.04166666666667
2020-02-11,63.8,19.8,21.3,18.2,96.25
2020-02-12,55.2,19.379166666666666,24.3,17.2,91.79166666666667
