datetime,chuva,temp,temp_max,temp_min,umidade
2015-01-01,0.0,25.17083333333333,32.4,18.3,65.08333333333333
2015-01-02,0.0,26.558333333333334,33.0,19.8,62.625
2015-01-03,0.0,24.716666666666665,31.9,20.3,71.08333333333333
2015-01-04,22.8,22.254166666666666,29.0,18.0,81.20833333333333
2015-01-05,0.0,22.65833333333333,28.9,18.4,76.58333333333333
2015-01-06,1.7999999999999998,21.962500000000002,28.1,18.4,82.41666666666667
2015-01-07,0.0,23.262500000000003,30.4,18.1,72.125
2015-01-08,0.0,23.545833333333334,30.8,17.1,64.79166666666667
2015-01-09,0.0,24.3875,31.2,18.0,53.0
2015-01-10,0.0,25.537499999999998,32.8,18.4,53.083333333333336
2015-01-11,0.0,27.13333333333333,32.9,20.6,47.583333333333336
2015-01-12,0.0,26.933333333333334,33.7,20.1,46.458333333333336
2015-01-13,0.0,25.170833333333334,32.8,16.8,52.5
2015-01-14,0.4,26.262500000000003,33.2,21.1,56.416666666666664
2015-01-15,0.0,25.96666666666667,32.9,19.7,56.916666666666664
2015-01-16,0.0,25.912500000000005,32.6,19.7,57.083333333333336
2015-01-17,0.0,26.67083333333333,33.5,19.8,46.75
2015-01-18,0.0,27.308333333333334,34.5,20.1,40.25
2015-01-19,0.0,27.629166666666663,34.7,19.3,39.791666666666664
2015-01-20,0.0,26.891666666666666,34.4,18.4,45.166666666666664
2015-01-21,14.2,25.162499999999998,34.4,18.7,54.666666666666664
2015-01-22,30.8,21.421739130434784,30.4,16.8,81.82608695652173
2015-01-23,10.0,18.845833333333328,23.5,16.7,97.125
2015-01-24,27.2,20.84166666666667,27.6,17.0,85.33333333333333
2015-01-25,3.8,20.887500000000003,28.1,16.0,80.625
2015-01-26,0.4,21.35416666666666,27.7,18.4,83.29166666666667
2015-01-27,2.0,21.416666666666668,29.0,17.5,84.08333333333333
2015-01-28,1.2,22.166666666666668,29.4,17.7,82.33333333333333
2015-01-29,0.0,23.391666666666662,30.0,18.4,77.125
2015-01-30,0.0,25.0125,31.8,19.1,68.41666666666667
2015-01-31,14.2,24.03333333333333,32.0,18.8,75.04166666666667
2015-02-01,1.0,22.837500000000002,30.6,17.3,77.08333333333333
2015-02-02,14.6,23.1125,29.8,16.2,77.70833333333333
2015-02-03,3.2,21.204166666666666,28.9,15.9,77.20833333333333
2015-02-04,8.2,19.929166666666667,26.0,16.4,87.0
2015-02-05,19.999999999999996,19.529166666666665,23.3,17.7,96.79166666666667
2015-02-06,1.0,20.5125,24.1,18.8,87.91666666666667
2015-02-07,17.2,19.875,26.3,16.5,89.08333333333333
2015-02-08,2.4000000000000004,21.51666666666667,29.1,18.3,84.0
2015-02-09,11.2,21.329166666666666,26.6,18.4,92.375
2015-02-10,1.5999999999999999,21.508333333333336,26.5,19.0,93.08333333333333
2015-02-11,0.8,22.337499999999995,29.0,19.1,88.75
2015-02-12,0.0,24.099999999999998,30.4,19.4,77.41666666666667
2015-02-13,0.0,24.933333333333337,30.5,20.5,70.125
2015-02-14,7.4,23.412499999999994,29.8,19.4,79.0
2015-02-15,2.6,21.65416666666667,29.2,18.4,85.0
2015-02-16,6.6,20.2125,24.6,17.4,93.25
2015-02-17,1.5999999999999999,21.65416666666667,27.4,18.8,86.875
2015-02-18,13.999999999999998,20.4875,24.4,18.6,92.58333333333333
2015-02-19,2.8,20.8625,27.1,18.0,88.08333333333333
2015-02-20,0.4,22.449999999999992,28.5,18.6,82.25
2015-02-21,0.0,24.316666666666666,30.3,19.1,65.625
2015-02-22,0.0,23.716666666666665,29.5,18.3,62.625
2015-02-23,0.0,23.85416666666666,30.0,18.9,60.166666666666664
2015-02-24,5.2,22.637500000000003,29.0,17.6,74.75
2015-02-25,0.8,21.666666666666668,27.9,17.3,84.0
2015-02-26,0.2,22.50833333333333,29.5,18.0,80.5
2015-02-27,0.0,22.254166666666663,29.7,16.8,77.58333333333333
2015-02-28,0.2,22.654166666666658,30.3,17.8,79.08333333333333
2015-03-01,0.0,22.3625,28.2,17.6,72.0
2015-03-02,0.0,21.21666666666667,27.4,15.5,69.16666666666667
2015-03-03,0.0,22.674999999999997,28.0,17.7,70.04166666666667
2015-03-04,0.0,23.475000000000005,29.8,17.9,69.70833333333333
2015-03-05,0.0,22.433333333333334,28.7,17.0,75.79166666666667
2015-03-06,1.2,22.879166666666666,29.4,18.6,76.0
2015-03-07,15.0,21.495833333333334,27.5,18.1,91.5
2015-03-08,1.8,20.758333333333333,25.9,17.6,93.0
2015-03-09,42.199999999999996,20.141666666666666,25.3,18.3,97.08333333333333
2015-03-10,1.4,20.787499999999998,24.8,18.6,94.625
2015-03-11,8.4,21.362499999999997,26.4,18.8,93.29166666666667
2015-03-12,2.2,20.10833333333333,22.2,18.3,96.375
2015-03-13,0.2,20.429166666666667,24.7,17.3,93.33333333333333
2015-03-14,0.6000000000000001,20.96666666666667,26.5,18.1,93.75
2015-03-15,0.0,21.849999999999998,28.3,17.5,83.875
2015-03-16,0.0,22.599999999999998,29.9,17.7,75.58333333333333
2015-03-17,3.0000000000000004,19.470833333333328,23.2,17.4,91.45833333333333
2015-03-18,56.599999999999994,18.48333333333333,24.0,15.6,96.33333333333333
2015-03-19,0.2,19.633333333333336,24.9,16.6,90.41666666666667
2015-03-20,1.8,19.92083333333333,24.6,17.7,92.0
2015-03-21,3.2,19.308333333333334,24.2,16.4,92.625
2015-03-22,16.2,18.987499999999994,23.7,16.2,95.33333333333333
2015-03-23,30.8,20.316666666666666,25.0,18.0,95.625
2015-03-24,0.0,21.375,28.0,16.4,81.0
2015-03-25,0.0,21.400000000000002,28.9,16.0,73.58333333333333
2015-03-26,0.0,21.916666666666668,28.1,16.2,74.45833333333333
2015-03-27,0.0,21.941666666666666,29.1,16.6,81.66666666666667
2015-03-28,0.2,22.9375,29.5,19.1,84.5
2015-03-29,0.2,21.945833333333336,28.7,17.7,89.625
2015-03-30,10.999999999999998,21.45,28.9,18.7,91.83333333333333
2015-03-31,5.8,20.333333333333332,26.6,17.1,95.52380952380952
2015-04-01,0.0,23.34375,28.0,19.3,77.9375
2015-04-02,0.0,21.583333333333332,27.8,16.3,79.83333333333333
2015-04-03,0.0,20.349999999999998,27.0,14.5,75.375
2015-04-04,0.0,20.604166666666668,26.3,16.6,79.25
2015-04-05,2.2,20.675,24.9,18.1,88.79166666666667
2015-04-06,7.000000000000001,21.483333333333334,27.6,18.0,84.04166666666667
2015-04-07,0.0,19.420833333333334,26.9,14.5,81.20833333333333
2015-04-08,0.0,17.73333333333333,23.7,12.4,80.79166666666667
2015-04-09,0.0,18.650000000000002,26.1,13.5,79.875
2015-04-10,0.0,19.779166666666665,25.6,15.2,76.83333333333333
2015-04-11,0.0,20.7,26.2,15.2,68.375
2015-04-12,0.0,20.604166666666664,27.6,14.3,70.625
2015-04-13,0.0,21.500000000000004,27.9,15.0,69.70833333333333
2015-04-14,0.0,21.575000000000003,27.5,16.5,70.66666666666667
2015-04-15,0.0,21.633333333333336,27.7,17.2,68.66666666666667
2015-04-16,0.0,22.258333333333336,27.9,18.1,73.16666666666667
